행정동,행정동_코드,연도,트렌드_대표_매출,총_매출,트렌드매출_비중,업종점수,2030비중,금요효과,주말비중,야간비중,복합점수,복합점수_분위,상권유형,상권티어
가락1동,11710631,2020,340217832376.1305,1324200210885,0.2569232579631998,0.051172595901274,0.2061421649990254,1.1282458646679236,0.2220184238850964,0.2044137582964843,-3.091516736010611,0.0331753554502369,일반,⑦ 일반
가락2동,11710632,2020,42977176087.217896,171467685904,0.2506430051857096,0.3044186889197548,0.2433258360724555,1.0620919396956974,0.1928020986036343,0.3538793473422882,-1.0227805891489197,0.2132701421800948,일반,⑦ 일반
가락본동,11710620,2020,82212980991.70436,258488084887,0.318053271305114,0.4168547632982951,0.3418993332193034,1.027229225654986,0.2548654824565697,0.3985971318137989,0.4314739023634547,0.6492890995260664,신흥 성장,② 라이징스타
가리봉동,11530595,2020,22121537122.48661,63150039204,0.3503012413187134,0.2821611664790757,0.2972318720399317,1.0045838155135998,0.2887601503950445,0.430886850158542,0.0329790442208258,0.5402843601895735,일반,⑦ 일반
가산동,11545510,2020,1205909161844.5735,2749552368818,0.4385838129582451,0.8108500987705954,0.3952340879967188,1.1090598081636287,0.3899339239735601,0.3575101215761084,4.236932094891881,0.995260663507109,기존 강세,① 레전드
가양1동,11500603,2020,97370441824.95673,344404612314,0.2827210738286579,0.4933870479588016,0.4651858229962717,0.957833797848028,0.203411543673314,0.4876729903659672,0.7517121137321515,0.7227488151658767,쇠퇴,⑦ 일반
가양2동,11500604,2020,21915959880.690365,100832608705,0.2173499244159059,0.1632606009149468,0.5016800841778836,1.3174574639432577,0.1689334503368386,0.2782483950413628,-1.5947797608668954,0.1232227488151658,일반,⑦ 일반
가양3동,11500605,2020,6537820242.838582,29455212165,0.2219580088649679,0.2681169366481119,0.3087090079698972,1.0409432443027329,0.172974625253391,0.2932550827206034,-1.9424517305612592,0.0971563981042654,일반,⑦ 일반
가회동,11110600,2020,16283823835.609724,50759113886,0.3208059122580744,0.843861486790337,0.4740542867639925,1.028714430584727,0.2582638721874082,0.3849804012514435,3.058403821908823,0.9644549763033176,기존 강세,⑤ 성숙·정체
갈현1동,11380551,2020,48301253169.52726,143257516437,0.3371638317544656,0.4229810985285914,0.3749537719483088,1.1596293557717232,0.2688660302786874,0.4228596241904009,1.318331685466074,0.8246445497630331,기존 강세,⑤ 성숙·정체
갈현2동,11380552,2020,59554316197.661125,188931602629,0.3152162759906629,0.3250164385657655,0.2948222724356976,1.0237091072208282,0.2539984582792823,0.4037118318197781,-0.1330455731778504,0.495260663507109,일반,⑦ 일반
강일동,11740515,2020,11233687862.042664,40971343727,0.2741840232747771,0.4022895586199234,0.2948035883441212,0.9961172351960428,0.2170318303507371,0.3781861102541524,-0.2862068690178527,0.438388625592417,일반,⑦ 일반
개봉1동,11530740,2020,31921075744.332848,102085328024,0.3126901422781174,0.2615156074800839,0.2194549472352489,1.0468082245297952,0.2519954563005578,0.3999810722888646,-0.4806141695819573,0.3625592417061611,일반,⑦ 일반
